name,full_address,address,city,state,zip
Real Life Crisis Pregnancy Center,"104 West Alabama Ave., Ste. F, Albertville, AL 35950","104 West Alabama Ave., Ste. F",Albertville,AL,35950
SavALife of Tallapoosa Cty,"11 Lafayette Street, Alexander City, AL 35010",11 Lafayette Street,Alexander City,AL,35010
Real Life Crisis Pregnancy Center,"116 Cullman Rd, Arab, AL 35016",116 Cullman Rd,Arab,AL,35016
Ramah International,"2707 E. Woodcliff Dr., Athens, AL 35611",2707 E. Woodcliff Dr.,Athens,AL,35611
Womens Hope Medical Clinic,"832 Stage Road, Auburn, AL 36830",832 Stage Road,Auburn,AL,36830
Pregnancy Test Center,"1230 Club House Place, Bessemer, AL 35020",1230 Club House Place,Bessemer,AL,35020
Catholic Family Services,"1515 12th Avenue South, Birmingham, AL 35205",1515 12th Avenue South,Birmingham,AL,35205
Lifeline Children Services,"2104 Rocky Ridge Road, Birmingham, AL 35216",2104 Rocky Ridge Road,Birmingham,AL,35216
SavALife East,"1126 Gadsden Hwy, Birmingham, AL 35242",1126 Gadsden Hwy,Birmingham,AL,35242
Savalife Womens Resource Center,"1480 McGuire Road, Birmingham, AL 35216",1480 McGuire Road,Birmingham,AL,35216
SavALife Pregnancy Center,"801 Bradley St. SW, Decatur, AL 35601",801 Bradley St. SW,Decatur,AL,35601
SavaLife of West Alabama,"722 North Walnut Ave., Demopolis AL 36732",722 North Walnut Ave.,,AL,36732
Ramah International,"2707 East Woodcliff Drive, Fayetteville, AL 72701",2707 East Woodcliff Drive,Fayetteville,AL,72701
Catholic Family Services,"1010 Church Street, Huntsville AL 35804",1010 Church Street,,AL,35804
Alpha Pregnancy Testing Center,"600 Carroll Street, Jackson, AL 36545",600 Carroll Street,Jackson,AL,36545
Pregnancy Test Resource Center,"1707 Second Ave, Jasper AL 63104",1707 Second Ave,,AL,63104
Catholic Social Services,"400 Government Street, Mobile, AL 366010759",400 Government Street,Mobile,AL,36601
Catholic Social Services,"4455 Narrow Lane Road, Montgomery, AL 36116",4455 Narrow Lane Road,Montgomery,AL,36116
Blount County SavALife,"311 First Avenue East, Oneonta, AL 35121",311 First Avenue East,Oneonta,AL,35121
SavALife Shelby,"3156 Pelham Pkwy, Pelham, AL 35124",3156 Pelham Pkwy,Pelham,AL,35124
SavALife East,"5314 Old Springville Road, Pinson AL 35126",5314 Old Springville Road,,AL,35126
Etowah Pregnancy Testing Center,"119 Church Street, Rainbow City, AL 35906",119 Church Street,Rainbow City,AL,35906
Womens Care Medical Center,"18555 Carolina Street, Robertsdale, AL 36567",18555 Carolina Street,Robertsdale,AL,36567
Womens Life Center,"523 So. Tree Notch, Troy, AL 36081",523 So. Tree Notch,Troy,AL,36081
SavALife,"225 University Blvd, Tuscaloosa, AL 35401",225 University Blvd,Tuscaloosa,AL,35401
Elmore County Pregnancy Center,"104 Company Street, Weptumka, AL 36092",104 Company Street,Weptumka,AL,36092
Catholic Social Services,"3710 East 20th Street, Suite 7, Anchorage, AK 99508","3710 East 20th Street, Suite 7",Anchorage,AK,99508
Heart to Heart Pregnancy Family Center,"12801 Old Glen Hwy, Eagle River, AK 99577",12801 Old Glen Hwy,Eagle River,AK,99577
Pregnancy Care Center of Homer,"3896 Bartlett Street, Homer, AK 99603",3896 Bartlett Street,Homer,AK,99603
ABC Crisis Pregnancy Center,"508 S. Willow St., Suite C, Kenai, AK 996116935","508 S. Willow St., Suite C",Kenai,AK,99611
Kodiak Crisis Pregnancy Center,"311 Center Ave., Suite 211, Kodiak AK  99615","311 Center Ave., Suite 211",,AK,99615
Hope Womens Center,"252 N. Ironwood Dr., Apache Junction, AZ 85220",252 N. Ironwood Dr.,Apache Junction,AZ,85220
House of Ruth Pregnancy Care Center,"1198 E. Mingus Ave., Cottonwood, AZ 86326",1198 E. Mingus Ave.,Cottonwood,AZ,86326
Hope Crisis Pregnancy Center,"224 S. Kendrick St., Flagstaff, AZ 86001",224 S. Kendrick St.,Flagstaff,AZ,86001
New Beginnings Pregnancy Center,"701 S. Ponderosa, Suite A, Payson, AZ 85541","701 S. Ponderosa, Suite A",Payson,AZ,85541
1st Way of Maricopa County,"3501 N. 16th Street, Phoenix, Arizona 85016",3501 N. 16th Street,Phoenix,AZ,85016
Catholic Charities Community Services,"4747 N. 7th Ave., Phoenix AZ 85013",4747 N. 7th Ave.,,AZ,85013
Christian Family Care Agency,"3603 North 7th Ave., Phoenix, AZ 85013",3603 North 7th Ave.,Phoenix,AZ,85013
Life Choices Womens Clinic,"9303 N 7th St., Ste. 4, Phoenix, AZ 85020","9303 N 7th St., Ste. 4",Phoenix,AZ,85020
Life Choices Womens Clinic,"3516 W. McDowell, Phoenix, AZ 85009",3516 W. McDowell,Phoenix,AZ,85009
Catholic Social Services,"434 W. Gurley St., Prescott, AZ 863013616",434 W. Gurley St.,Prescott,AZ,86301
Community Pregnancy Center of Prescott,"1124 E. Gurley St., Prescott, AZ 86301",1124 E. Gurley St.,Prescott,AZ,86301
Christian Family Care,"P.O. Box 11237, Prescott, AZ 86304",P.O. Box 11237,Prescott,AZ,86304
Living Hope Womens Center,"1000 E. Huning St., Show Low, AZ 85901",1000 E. Huning St.,Show Low,AZ,85901
Care Net Pregnancy Center of Cochise County,"1197 E. Fry Blvd., Sierra Vista, AZ 85635",1197 E. Fry Blvd.,Sierra Vista,AZ,85635
Living Hope Womens Centers,"109 C Street, Springerville, AZ 85938",109 C Street,Springerville,AZ,85938
Aid to Women Clinic,"707 S. Forest Ave., Ste. A B, Tempe, AZ 85281","707 S. Forest Ave., Ste. A B",Tempe,AZ,85281
Christian Family Care,"6063 East Grant Rd., Tuscon, AZ 85712",6063 East Grant Rd.,Tuscon,AZ,85712
Reachout Pregnancy Center,"2648 N. Campbell Ave., Tucson, AZ 85719",2648 N. Campbell Ave.,Tucson,AZ,85719
Hands of Hope South,"6066 South Nogales Hwy., Tucson, AZ 85706",6066 South Nogales Hwy.,Tucson,AZ,85706
Living Hope Womens Centers,"1107 Maverick Ave., Whiteriver, AZ 85941",1107 Maverick Ave.,Whiteriver,AZ,85941
