name,full_address,address,city,state,zip
SavALife,711 North 4th Avenue
Pregnancy Crisis Center,103 Crandall Ave.
Friends for Life Medical,914 E Race Street
Call For Life Pregnancy Help Center,"Hisperia, CA 92345"
College Area Pregnancy Services,"San Diego, CA 92109"
Mobile Clinic,Servicing Orange County Communities
Sussex County Pregnancy Care Center,5 Burger King Dr.
West Pasco Pregnancy Center,"New Port Richey, Fl. 34652"
930 Fourth St. SE,"Cairo, GA 39828"
337 West Pike Street,"Lawrenceville, GA 30046"
Rome CPC,100 Redmond Rd.
320 N. Crawford St.,"Thomasville, GA 31792"
1515W.A Street,"Moscow, ID 83843"
PO Box 132,"Batesville, IN 47006"
Shelter of Love CPC,"107 W Main St.,"
New Life Counseling Center,"Lake Charles, LA   70605"
Birthright,"Silver Spring, MD 20902"
Birthright,"New Bedford, MA 02740"
7743 W. Grand River,"Brighton, MI 48114"
Catholic Charities of Southeast Michigan,"Royal Oak, MI 48067"
172 E Michigan Ave,"Three Rivers, MI 49093"
1615 Main St.,"Hopkins, MN 55343"
Woodbury Life Resource Center,"Woodbury, MN 55125"
Lighthouse,"Kansas City, MO 64113"
Birthright of the Bitterroot,"Hamilton, MT 59840"
Catholic Charities,"Atlantic City, NJ 08401"
19 West Pleasant Avenue,"Maywood, NJ 07607"
503 Main St.,"Metuchen, NJ 08840"
180 Bloomfield Avenue,"Montclair, NJ 07042"
82 Speedwell Avenue,"Morristown, NJ 07960"
Birthright of Ossining,"Ossining, NY 10562"
226 Church Street,"Poughkeepsie, NY 12601"
Embracing Options (Care Net),"Rochester, NY     14619"
Pregnancy Care Center,501 E. Union St.
Alliance Pregnancy Center,"Alliance, OH 44601"
Pregnancy Decision Health Centers,5900 Cleveland Ave.
Amnion Crisis Pregnancy Center,645 E. Baltimore Pike
Heartbeat Community Service,Millerstown PA 17062
Human Life Services,"York, PA 17401"
Care Net PCP,300 W. Grand St.
"1425 Greenway Drive, Suite 440","Irving, Texas 75038"
Birthright North Houston,"Houston, TX 77090"
Womens Pregnancy Center,Houston TX 770367841
Smithlawn Maternity Home,"Lubbock, Texas 794936451"
Care Net Pregnancy Center,4700 W. Waco Dr.
1310 North State St.,"Bellingham, WA 98225"
Care Net Pregnancy Family Services,1209 6th Ave.
Catholic Charities of West Virginia,827 Fairmont Road Ste 203
"21 South Jackson St., Suite C","Janesville, WI 53548"
Bay Area Pregnancy Services,2420 Hall Avenue
24 S Main St,"Oconomowoc, WI 53066"
